Loaded config from: /opt/ddcontroller/config/default.yaml
Labeled: Default Robot Config
0.0 m/s	0.0 rad/s
0.031 m/s	-0.624 rad/s
0.085 m/s	-0.734 rad/s
0.144 m/s	-0.641 rad/s
0.172 m/s	-0.366 rad/s
0.184 m/s	-0.16 rad/s
0.212 m/s	-0.053 rad/s
0.212 m/s	0.033 rad/s
0.221 m/s	-0.161 rad/s
0.221 m/s	0.023 rad/s
0.215 m/s	-0.045 rad/s
0.218 m/s	-0.137 rad/s
0.211 m/s	-0.034 rad/s
0.229 m/s	-0.244 rad/s
0.215 m/s	-0.094 rad/s
0.22 m/s	-0.067 rad/s
0.228 m/s	-0.162 rad/s
0.218 m/s	-0.146 rad/s
0.238 m/s	-0.347 rad/s
0.214 m/s	0.022 rad/s
0.231 m/s	-0.366 rad/s
0.23 m/s	-0.206 rad/s
0.207 m/s	-0.022 rad/s
0.232 m/s	-0.435 rad/s
0.225 m/s	-0.307 rad/s
0.221 m/s	-0.248 rad/s
0.211 m/s	-0.092 rad/s
0.22 m/s	-0.137 rad/s
0.234 m/s	-0.32 rad/s
0.22 m/s	-0.137 rad/s
0.248 m/s	-0.552 rad/s
0.22 m/s	-0.011 rad/s
0.227 m/s	-0.229 rad/s
0.237 m/s	-0.388 rad/s
0.22 m/s	0.09 rad/s
0.23 m/s	-0.025 rad/s
0.227 m/s	-0.016 rad/s
0.223 m/s	-0.053 rad/s
0.218 m/s	-0.023 rad/s
0.227 m/s	0.046 rad/s
0.221 m/s	0.069 rad/s
0.224 m/s	-0.0 rad/s
0.217 m/s	0.077 rad/s
0.228 m/s	-0.168 rad/s
0.222 m/s	-0.004 rad/s
0.219 m/s	-0.111 rad/s
0.228 m/s	-0.115 rad/s
0.226 m/s	-0.114 rad/s
0.236 m/s	-0.175 rad/s
0.22 m/s	-0.033 rad/s
0.221 m/s	-0.205 rad/s
0.225 m/s	-0.16 rad/s
0.213 m/s	-0.095 rad/s
0.222 m/s	-0.226 rad/s
0.218 m/s	-0.137 rad/s
0.231 m/s	-0.315 rad/s
0.215 m/s	-0.0 rad/s
0.23 m/s	-0.298 rad/s
0.223 m/s	-0.16 rad/s
0.224 m/s	-0.183 rad/s
0.227 m/s	-0.366 rad/s
0.217 m/s	-0.187 rad/s
0.23 m/s	-0.433 rad/s
0.223 m/s	-0.297 rad/s
0.207 m/s	-0.069 rad/s
0.235 m/s	-0.389 rad/s
0.227 m/s	-0.092 rad/s
0.226 m/s	-0.171 rad/s
0.231 m/s	-0.124 rad/s
0.228 m/s	-0.161 rad/s
0.224 m/s	-0.046 rad/s
0.226 m/s	-0.023 rad/s
0.224 m/s	0.0 rad/s
0.22 m/s	-0.083 rad/s
0.223 m/s	0.062 rad/s
0.216 m/s	-0.023 rad/s
0.227 m/s	-0.091 rad/s
0.222 m/s	0.0 rad/s
0.228 m/s	-0.072 rad/s
0.223 m/s	-0.103 rad/s
0.226 m/s	-0.059 rad/s
0.228 m/s	-0.296 rad/s
0.225 m/s	-0.042 rad/s
0.226 m/s	-0.206 rad/s
0.223 m/s	-0.16 rad/s
0.227 m/s	-0.201 rad/s
0.221 m/s	0.026 rad/s
0.219 m/s	-0.046 rad/s
0.227 m/s	-0.092 rad/s
0.219 m/s	-0.023 rad/s
0.221 m/s	-0.298 rad/s
0.223 m/s	-0.176 rad/s
0.22 m/s	-0.378 rad/s
